registration,date,departure_airport,departure_time,arrival_airport,arrival_time,status
B-919A,02-Feb-2026,CKG,07:50PM CST,SHA,10:04PM CST,Completed
B-919A,02-Feb-2026,TYN,11:59AM CST,SHA,02:12PM CST,Completed
B-919A,02-Feb-2026,SHA,08:41AM CST,TYN,11:15AM CST,Completed
B-919C,02-Feb-2026,PKX,07:50PM CST,XIY,09:58PM CST,Completed
B-919C,02-Feb-2026,XIY,04:00PM CST,PKX,06:05PM CST,Completed
B-919C,02-Feb-2026,PVG,12:00PM CST,XIY,03:02PM CST,Completed
B-919C,02-Feb-2026,XIY,07:51AM CST,PVG,10:19AM CST,Completed
B-919D,02-Feb-2026,SHA,08:36PM CST,XIY,11:21PM CST,Completed
B-919D,02-Feb-2026,CAN,05:33PM CST,SHA,07:54PM CST,Completed
B-919D,02-Feb-2026,XIY,06:49AM CST,CAN,09:53AM CST,Completed
B-919F,02-Feb-2026,HKG,11:51AM HKT,SHA,02:06PM CST,Completed
B-919F,02-Feb-2026,SHA,07:52AM CST,HKG,10:43AM HKT,Completed
B-657T,02-Feb-2026,PEK,06:20PM CST,SHA,08:37PM CST,Completed
B-657T,02-Feb-2026,N/A,02:55PM CST,N/A,02:57PM CST,Completed
B-657T,02-Feb-2026,SHA,02:35PM CST,PEK,04:57PM CST,Completed
B-657T,02-Feb-2026,WUH,12:01PM CST,SHA,01:28PM CST,Completed
B-657T,02-Feb-2026,SHA,09:18AM CST,WUH,11:17AM CST,Completed
B-658E,02-Feb-2026,ZUH,08:23PM CST,SHA,10:30PM CST,Completed
B-658E,02-Feb-2026,SHA,04:42PM CST,ZUH,07:27PM CST,Completed
B-658E,02-Feb-2026,TFU,12:21PM CST,SHA,02:56PM CST,Completed
B-658E,02-Feb-2026,SHA,07:24AM CST,TFU,10:53AM CST,Completed
B-658U,02-Feb-2026,SHA,12:24PM CST,TFU,03:57PM CST,Completed
B-658U,02-Feb-2026,TFU,08:53AM CST,SHA,11:22AM CST,Completed
B-658V,02-Feb-2026,XIY,07:17PM CST,SHA,09:40PM CST,Completed
B-658V,02-Feb-2026,N/A,03:42PM CST,N/A,03:51PM CST,Completed
B-658V,02-Feb-2026,ZUH,12:18PM CST,SHA,02:35PM CST,Completed
B-658V,02-Feb-2026,SHA,08:23AM CST,ZUH,11:04AM CST,Completed
B-659Z,02-Feb-2026,PKX,07:07PM CST,SHA,09:06PM CST,Completed
B-659Z,02-Feb-2026,N/A,03:51PM CST,N/A,03:52PM CST,Completed
B-659Z,02-Feb-2026,SHA,03:32PM CST,PKX,05:44PM CST,Completed
B-659Z,02-Feb-2026,XIY,11:58AM CST,SHA,02:19PM CST,Completed
B-659Z,02-Feb-2026,N/A,08:36AM CST,N/A,09:15AM CST,Completed
B-65A0,02-Feb-2026,TFU,07:18PM CST,SHA,09:51PM CST,Completed
B-65A0,02-Feb-2026,N/A,02:38PM CST,N/A,02:46PM CST,Completed
B-65A0,02-Feb-2026,XMN,10:47AM CST,SHA,12:46PM CST,Completed
B-65A0,02-Feb-2026,N/A,08:07AM CST,N/A,08:10AM CST,Completed
B-65A0,02-Feb-2026,SHA,07:48AM CST,XMN,09:44AM CST,Completed
B-919X,02-Feb-2026,HGH,05:54PM CST,PEK,08:32PM CST,Completed
B-919X,02-Feb-2026,PEK,02:57PM CST,HGH,04:50PM CST,Completed
B-919X,02-Feb-2026,HGH,11:00AM CST,PEK,01:43PM CST,Completed
B-919X,02-Feb-2026,PEK,07:45AM CST,HGH,09:27AM CST,Completed
B-919Y,02-Feb-2026,HGH,06:56PM CST,PEK,09:27PM CST,Completed
B-919Y,02-Feb-2026,PEK,03:31PM CST,HGH,05:18PM CST,Completed
B-919Y,02-Feb-2026,WUH,11:44AM CST,PEK,01:31PM CST,Completed
B-919Y,02-Feb-2026,PEK,08:20AM CST,WUH,10:17AM CST,Completed
B-919Z,02-Feb-2026,XIY,07:44PM CST,PEK,09:46PM CST,Completed
B-919Z,02-Feb-2026,PEK,04:01PM CST,XIY,05:55PM CST,Completed
B-919Z,02-Feb-2026,XIY,12:39PM CST,PEK,02:32PM CST,Completed
B-919Z,02-Feb-2026,PEK,08:34AM CST,XIY,10:26AM CST,Completed
B-919J,02-Feb-2026,XIY,05:58PM CST,CAN,08:41PM CST,Completed
B-657J,02-Feb-2026,NGB,05:51PM CST,CAN,08:12PM CST,Completed
B-657J,02-Feb-2026,CAN,02:35PM CST,NGB,04:51PM CST,Completed
B-657X,02-Feb-2026,WUH,07:50PM CST,CAN,09:46PM CST,Completed
B-657X,02-Feb-2026,CAN,04:51PM CST,WUH,06:26PM CST,Completed
B-657X,02-Feb-2026,HGH,01:24PM CST,CAN,03:55PM CST,Completed
B-657X,02-Feb-2026,CAN,10:05AM CST,HGH,12:12PM CST,Completed
B-658J,02-Feb-2026,CKG,08:03PM CST,PEK,10:17PM CST,Completed
B-658J,02-Feb-2026,PEK,04:17PM CST,CKG,06:49PM CST,Completed
B-658J,02-Feb-2026,CSX,12:27PM CST,PEK,02:55PM CST,Completed
