registration,date,departure_airport,departure_time,arrival_airport,arrival_time,status
B-919A,29-Jan-2026,XMN,05:50PM CST,SHA,07:52PM CST,Completed
B-919A,29-Jan-2026,SHA,02:52PM CST,XMN,04:41PM CST,Completed
B-919A,29-Jan-2026,XMN,11:59AM CST,SHA,01:43PM CST,Completed
B-919A,29-Jan-2026,SHA,09:01AM CST,XMN,11:06AM CST,Completed
B-919D,29-Jan-2026,XIY,01:05PM CST,SHA,03:29PM CST,Completed
B-919E,29-Jan-2026,N/A,03:49PM CST,N/A,03:49PM CST,Completed
B-919E,29-Jan-2026,HKG,11:49AM HKT,SHA,02:08PM CST,Completed
B-919E,29-Jan-2026,SHA,07:48AM CST,HKG,10:29AM HKT,Completed
B-919F,29-Jan-2026,PEK,06:16PM CST,SHA,08:22PM CST,Completed
B-919F,29-Jan-2026,SHA,02:29PM CST,PEK,04:43PM CST,Completed
B-657T,29-Jan-2026,XMN,10:42AM CST,SHA,12:32PM CST,Completed
B-657T,29-Jan-2026,SHA,07:59AM CST,XMN,09:50AM CST,Completed
B-658U,29-Jan-2026,XMN,07:41PM CST,TFU,11:06PM CST,Completed
B-658U,29-Jan-2026,TFU,04:05PM CST,XMN,06:45PM CST,Completed
B-658U,29-Jan-2026,XMN,12:02PM CST,TFU,03:05PM CST,Completed
B-658U,29-Jan-2026,TFU,08:16AM CST,XMN,11:02AM CST,Completed
B-658V,29-Jan-2026,PKX,07:14PM CST,SHA,09:13PM CST,Completed
B-658V,29-Jan-2026,SHA,03:25PM CST,PKX,05:35PM CST,Completed
B-659Z,29-Jan-2026,PKX,03:52PM CST,SHA,05:48PM CST,Completed
B-659Z,29-Jan-2026,N/A,12:41PM CST,N/A,01:03PM CST,Completed
B-65A0,29-Jan-2026,CKG,07:51PM CST,SHA,10:13PM CST,Completed
B-65A0,29-Jan-2026,SHA,03:36PM CST,CKG,06:35PM CST,Completed
B-65A0,29-Jan-2026,TFU,12:19PM CST,SHA,02:48PM CST,Completed
B-919X,29-Jan-2026,CKG,07:20PM CST,PEK,09:33PM CST,Completed
B-919X,29-Jan-2026,PEK,03:10PM CST,CKG,05:46PM CST,Completed
B-919X,29-Jan-2026,WUH,11:35AM CST,PEK,01:22PM CST,Completed
B-919X,29-Jan-2026,PEK,08:06AM CST,WUH,10:05AM CST,Completed
B-919Y,29-Jan-2026,CSX,08:46PM CST,PEK,10:48PM CST,Completed
B-919Y,29-Jan-2026,PEK,05:09PM CST,CSX,07:37PM CST,Completed
B-919Y,29-Jan-2026,CKG,01:19PM CST,PEK,03:46PM CST,Completed
B-919Y,29-Jan-2026,PEK,09:42AM CST,CKG,12:11PM CST,Completed
B-919Z,29-Jan-2026,XIY,09:05PM CST,PEK,11:02PM CST,Completed
B-919Z,29-Jan-2026,PEK,05:00PM CST,XIY,06:55PM CST,Completed
B-919Z,29-Jan-2026,HGH,12:55PM CST,PEK,03:24PM CST,Completed
B-919Z,29-Jan-2026,PEK,09:52AM CST,HGH,11:40AM CST,Completed
B-657J,29-Jan-2026,NGB,05:42PM CST,CAN,08:16PM CST,Completed
B-657J,29-Jan-2026,CAN,02:37PM CST,NGB,04:39PM CST,Completed
B-657J,29-Jan-2026,CSX,12:07PM CST,CAN,01:54PM CST,Completed
B-657X,29-Jan-2026,WUH,07:52PM CST,CAN,09:58PM CST,Completed
B-657X,29-Jan-2026,CAN,04:53PM CST,WUH,06:31PM CST,Completed
B-657X,29-Jan-2026,HGH,01:28PM CST,CAN,03:55PM CST,Completed
B-657X,29-Jan-2026,CAN,10:14AM CST,HGH,12:02PM CST,Completed
B-658J,29-Jan-2026,XIY,06:42PM CST,PEK,08:28PM CST,Completed
B-658J,29-Jan-2026,PEK,02:50PM CST,XIY,04:49PM CST,Completed
B-658J,29-Jan-2026,XIY,11:05AM CST,PEK,01:04PM CST,Completed
B-658J,29-Jan-2026,PEK,07:11AM CST,XIY,09:12AM CST,Completed
B-658R,29-Jan-2026,N/A,09:35PM CST,N/A,N/A,Completed
B-658R,29-Jan-2026,CSX,09:32PM CST,PEK,11:34PM CST,Completed
B-658R,29-Jan-2026,PEK,05:48PM CST,CSX,08:14PM CST,Completed
B-658R,29-Jan-2026,HKG,01:03PM HKT,PEK,04:14PM CST,Completed
B-658R,29-Jan-2026,PEK,08:20AM CST,HKG,11:37AM HKT,Completed
B-658N,29-Jan-2026,PKX,07:10PM CST,CSX,09:42PM CST,Completed
B-658N,29-Jan-2026,CSX,03:01PM CST,PKX,05:19PM CST,Completed
B-658N,29-Jan-2026,PKX,11:10AM CST,CSX,01:37PM CST,Completed
B-658N,29-Jan-2026,CSX,07:26AM CST,PKX,09:39AM CST,Completed
B-658P,29-Jan-2026,NKG,07:03PM CST,CAN,09:36PM CST,Completed
B-658P,29-Jan-2026,CAN,03:35PM CST,NKG,05:54PM CST,Completed
B-658P,29-Jan-2026,NKG,11:31AM CST,CAN,01:58PM CST,Completed
B-658P,29-Jan-2026,CAN,08:17AM CST,NKG,10:42AM CST,Completed
B-658X,29-Jan-2026,HGH,08:26PM CST,CAN,11:07PM CST,Completed
B-658X,29-Jan-2026,CAN,05:05PM CST,HGH,07:04PM CST,Completed
B-658X,29-Jan-2026,WUH,01:57PM CST,CAN,03:59PM CST,Completed
B-658X,29-Jan-2026,CAN,10:52AM CST,WUH,12:27PM CST,Completed
B-658X,29-Jan-2026,CSX,07:53AM CST,CAN,09:43AM CST,Completed
B-658W,29-Jan-2026,PVG,09:57PM CST,CSX,12:14AM CST (+1),Completed
B-658W,29-Jan-2026,NGB,11:17AM CST,CAN,01:57PM CST,Completed
B-658W,29-Jan-2026,CAN,08:07AM CST,NGB,10:25AM CST,Completed
B-658Y,29-Jan-2026,NKG,09:50PM CST,CAN,12:23AM CST (+1),Completed
B-658Y,29-Jan-2026,CAN,06:45PM CST,NKG,08:58PM CST,Completed
B-658Y,29-Jan-2026,TYN,01:41PM CST,CAN,04:43PM CST,Completed
B-658Y,29-Jan-2026,CAN,09:52AM CST,TYN,12:39PM CST,Completed
B-659J,29-Jan-2026,HGH,08:06PM CST,PEK,10:34PM CST,Completed
B-659J,29-Jan-2026,PEK,04:40PM CST,HGH,06:30PM CST,Completed
B-659J,29-Jan-2026,WUH,01:15PM CST,PEK,02:48PM CST,Completed
B-659J,29-Jan-2026,PEK,09:34AM CST,WUH,11:32AM CST,Completed
B-659K,29-Jan-2026,HGH,06:52PM CST,PEK,09:18PM CST,Completed
B-659K,29-Jan-2026,PEK,03:41PM CST,HGH,05:35PM CST,Completed
