registration,date,departure_airport,departure_time,arrival_airport,arrival_time,status
B-919A,28-Jan-2026,CAN,09:24PM CST,SHA,11:32PM CST,Completed
B-919A,28-Jan-2026,SHA,05:34PM CST,CAN,08:08PM CST,Completed
B-919A,28-Jan-2026,CKG,01:46PM CST,SHA,04:14PM CST,Completed
B-919D,28-Jan-2026,PEK,06:23PM CST,SHA,08:22PM CST,Completed
B-919D,28-Jan-2026,SHA,02:36PM CST,PEK,05:23PM CST,Completed
B-919D,28-Jan-2026,N/A,01:21PM CST,(?),01:21PM CST (?),Completed
B-919D,28-Jan-2026,SHA,09:18AM CST,WUH,11:16AM CST,Completed
B-919E,28-Jan-2026,CKG,07:52PM CST,SHA,10:10PM CST,Completed
B-919E,28-Jan-2026,SHA,08:50AM CST,TYN,11:23AM CST,Completed
B-919F,28-Jan-2026,N/A,07:39PM CST,N/A,08:10PM CST,Completed
B-919F,28-Jan-2026,PKX,07:04PM CST,SHA,09:11PM CST,Completed
B-919F,28-Jan-2026,N/A,05:19PM CST,N/A,05:21PM CST,Completed
B-657T,28-Jan-2026,CKG,09:22PM CST,SHA,11:39PM CST,Completed
B-657T,28-Jan-2026,SHA,05:19PM CST,CKG,08:26PM CST,Completed
B-658U,28-Jan-2026,XMN,07:54PM CST,TFU,11:13PM CST,Completed
B-658U,28-Jan-2026,TFU,04:06PM CST,XMN,07:04PM CST,Completed
B-658U,28-Jan-2026,XMN,12:01PM CST,TFU,03:16PM CST,Completed
B-658U,28-Jan-2026,TFU,08:12AM CST,XMN,11:02AM CST,Completed
B-658V,28-Jan-2026,TFU,07:23PM CST,SHA,09:57PM CST,Completed
B-658V,28-Jan-2026,XMN,10:33AM CST,SHA,12:23PM CST,Completed
B-658V,28-Jan-2026,SHA,07:55AM CST,XMN,09:41AM CST,Completed
B-65A0,28-Jan-2026,XIY,08:53PM CST,SHA,11:15PM CST,Completed
B-65A0,28-Jan-2026,HKG,11:55AM HKT,SHA,02:09PM CST,Completed
B-65A0,28-Jan-2026,SHA,07:57AM CST,HKG,10:35AM HKT,Completed
B-919X,28-Jan-2026,CKG,07:26PM CST,PEK,09:32PM CST,Completed
B-919X,28-Jan-2026,PEK,03:15PM CST,CKG,05:51PM CST,Completed
B-919X,28-Jan-2026,WUH,11:36AM CST,PEK,01:28PM CST,Completed
B-919X,28-Jan-2026,PEK,08:30AM CST,WUH,10:28AM CST,Completed
B-919Y,28-Jan-2026,CSX,09:11PM CST,PEK,11:19PM CST,Completed
B-919Y,28-Jan-2026,PEK,05:44PM CST,CSX,08:01PM CST,Completed
B-919Y,28-Jan-2026,CKG,01:20PM CST,PEK,03:39PM CST,Completed
B-919Y,28-Jan-2026,PEK,09:32AM CST,CKG,12:03PM CST,Completed
B-919Z,28-Jan-2026,N/A,08:52PM CST,N/A,08:53PM CST,Completed
B-919Z,28-Jan-2026,SHA,08:20PM CST,PEK,10:55PM CST,Completed
B-919Z,28-Jan-2026,PEK,04:44PM CST,SHA,06:28PM CST,Completed
B-919Z,28-Jan-2026,XIY,12:29PM CST,PEK,02:20PM CST,Completed
B-919Z,28-Jan-2026,PEK,09:07AM CST,XIY,11:00AM CST,Completed
B-657J,28-Jan-2026,WUH,08:02PM CST,CAN,09:42PM CST,Completed
B-657J,28-Jan-2026,CAN,05:34PM CST,WUH,07:13PM CST,Completed
B-657J,28-Jan-2026,HGH,01:33PM CST,CAN,04:00PM CST,Completed
B-657J,28-Jan-2026,CAN,10:05AM CST,HGH,12:06PM CST,Completed
