registration,date,departure_airport,departure_time,arrival_airport,arrival_time,status
B-919A,26-Jan-2026,TFU,07:20PM CST,SHA,09:42PM CST,Completed
B-919A,26-Jan-2026,SHA,02:24PM CST,TFU,05:47PM CST,Completed
B-919A,26-Jan-2026,XMN,10:42AM CST,SHA,12:24PM CST,Completed
B-919A,26-Jan-2026,SHA,07:55AM CST,XMN,09:47AM CST,Completed
B-919D,26-Jan-2026,PEK,06:17PM CST,SHA,08:26PM CST,Completed
B-919D,26-Jan-2026,SHA,02:32PM CST,PEK,04:42PM CST,Completed
B-919D,26-Jan-2026,WUH,11:55AM CST,SHA,01:35PM CST,Completed
B-919D,26-Jan-2026,SHA,09:14AM CST,WUH,11:04AM CST,Completed
B-919E,26-Jan-2026,N/A,05:42PM CST,N/A,N/A,Completed
B-919E,26-Jan-2026,CAN,09:26PM CST,SHA,11:29PM CST,Completed
B-919E,26-Jan-2026,SHA,05:26PM CST,CAN,07:52PM CST,Completed
B-919E,26-Jan-2026,CKG,01:39PM CST,SHA,03:52PM CST,Completed
B-919E,26-Jan-2026,SHA,09:32AM CST,CKG,12:48PM CST,Completed
B-919F,26-Jan-2026,XMN,05:50PM CST,SHA,07:24PM CST,Completed
B-919F,26-Jan-2026,SHA,02:41PM CST,XMN,04:26PM CST,Completed
B-919F,26-Jan-2026,XMN,11:46AM CST,SHA,01:39PM CST,Completed
B-919F,26-Jan-2026,SHA,08:58AM CST,XMN,10:48AM CST,Completed
B-919G,26-Jan-2026,PKX,08:26PM CST,XIY,10:31PM CST,Completed
B-919G,26-Jan-2026,XIY,05:23PM CST,PKX,07:33PM CST,Completed
B-919G,26-Jan-2026,CAN,01:46PM CST,XIY,04:27PM CST,Completed
B-919G,26-Jan-2026,XIY,09:55AM CST,CAN,12:51PM CST,Completed
B-657T,26-Jan-2026,CKG,09:22PM CST,SHA,11:28PM CST,Completed
B-657T,26-Jan-2026,XIY,01:14PM CST,SHA,03:27PM CST,Completed
B-657T,26-Jan-2026,SHA,09:14AM CST,XIY,12:26PM CST,Completed
B-658E,26-Jan-2026,TFU,08:24PM CST,SHA,10:59PM CST,Completed
B-658E,26-Jan-2026,N/A,03:55PM CST,N/A,03:58PM CST,Completed
B-658E,26-Jan-2026,HKG,11:58AM HKT,SHA,02:09PM CST,Completed
B-658E,26-Jan-2026,SHA,07:54AM CST,HKG,10:42AM HKT,Completed
B-658U,26-Jan-2026,PKX,07:06PM CST,SHA,09:09PM CST,Completed
B-658U,26-Jan-2026,SHA,03:21PM CST,PKX,05:30PM CST,Completed
B-658U,26-Jan-2026,XIY,11:45AM CST,SHA,02:03PM CST,Completed
B-658U,26-Jan-2026,SHA,08:09AM CST,XIY,10:53AM CST,Completed
B-658V,26-Jan-2026,TFU,04:54PM CST,SHA,07:22PM CST,Completed
B-658V,26-Jan-2026,SHA,12:27PM CST,TFU,03:57PM CST,Completed
B-658V,26-Jan-2026,TFU,08:52AM CST,SHA,11:22AM CST,Completed
B-659Z,26-Jan-2026,CKG,07:46PM CST,SHA,09:58PM CST,Completed
B-659Z,26-Jan-2026,SHA,03:17PM CST,CKG,06:15PM CST,Completed
B-659Z,26-Jan-2026,TYN,11:51AM CST,SHA,02:16PM CST,Completed
B-659Z,26-Jan-2026,SHA,08:42AM CST,TYN,11:14AM CST,Completed
B-65A0,26-Jan-2026,XIY,08:50PM CST,SHA,11:14PM CST,Completed
B-65A0,26-Jan-2026,TFU,12:22PM CST,SHA,02:48PM CST,Completed
B-65A0,26-Jan-2026,SHA,07:21AM CST,TFU,10:54AM CST,Completed
B-919X,26-Jan-2026,XIY,08:30PM CST,PEK,10:28PM CST,Completed
B-919X,26-Jan-2026,PEK,04:43PM CST,XIY,06:32PM CST,Completed
B-919X,26-Jan-2026,XIY,01:20PM CST,PEK,03:16PM CST,Completed
B-919X,26-Jan-2026,PEK,09:11AM CST,XIY,11:10AM CST,Completed
B-919Y,26-Jan-2026,CSX,10:28PM CST,PEK,12:34AM CST (+1),Completed
B-919Y,26-Jan-2026,PEK,05:14PM CST,CSX,07:42PM CST,Completed
B-919Y,26-Jan-2026,CKG,01:29PM CST,PEK,03:28PM CST,Completed
B-919Y,26-Jan-2026,PEK,09:34AM CST,CKG,12:13PM CST,Completed
B-919Z,26-Jan-2026,CKG,07:27PM CST,PEK,09:32PM CST,Completed
B-919Z,26-Jan-2026,PEK,03:13PM CST,CKG,05:41PM CST,Completed
B-919Z,26-Jan-2026,CKG,11:39AM CST,PEK,01:36PM CST,Completed
B-919Z,26-Jan-2026,PEK,07:02AM CST,CKG,09:42AM CST,Completed
B-657J,26-Jan-2026,NGB,05:39PM CST,CAN,07:58PM CST,Completed
B-657J,26-Jan-2026,CAN,02:38PM CST,NGB,04:53PM CST,Completed
B-657J,26-Jan-2026,CSX,11:56AM CST,CAN,01:52PM CST,Completed
B-657X,26-Jan-2026,NKG,07:02PM CST,CAN,09:40PM CST,Completed
B-657X,26-Jan-2026,CAN,03:42PM CST,NKG,05:59PM CST,Completed
B-657X,26-Jan-2026,NKG,11:31AM CST,CAN,02:04PM CST,Completed
B-657X,26-Jan-2026,CAN,08:07AM CST,NKG,10:19AM CST,Completed
B-658H,26-Jan-2026,XIY,08:38PM CST,PEK,10:28PM CST,Completed
B-658H,26-Jan-2026,PEK,04:56PM CST,XIY,06:52PM CST,Completed
B-658H,26-Jan-2026,XIY,01:28PM CST,PEK,03:35PM CST,Completed
B-658H,26-Jan-2026,PEK,09:08AM CST,XIY,11:04AM CST,Completed
B-658J,26-Jan-2026,CSX,09:44PM CST,PEK,11:51PM CST,Completed
B-658J,26-Jan-2026,PEK,05:34PM CST,CSX,07:56PM CST,Completed
B-658J,26-Jan-2026,CTU,01:49PM CST,PEK,03:58PM CST,Completed
B-658J,26-Jan-2026,PEK,09:37AM CST,CTU,12:31PM CST,Completed
B-658R,26-Jan-2026,CSX,10:14PM CST,PEK,12:24AM CST (+1),Completed
B-658R,26-Jan-2026,PEK,06:25PM CST,CSX,08:50PM CST,Completed
B-658N,26-Jan-2026,PKX,07:08PM CST,CSX,09:39PM CST,Completed
B-658N,26-Jan-2026,CSX,03:00PM CST,PKX,05:04PM CST,Completed
B-658N,26-Jan-2026,PKX,11:07AM CST,CSX,01:44PM CST,Completed
B-658N,26-Jan-2026,CSX,07:21AM CST,PKX,09:32AM CST,Completed
B-658P,26-Jan-2026,WUH,07:58PM CST,CAN,10:11PM CST,Completed
B-658P,26-Jan-2026,CAN,04:57PM CST,WUH,06:37PM CST,Completed
B-658P,26-Jan-2026,HGH,01:37PM CST,CAN,04:00PM CST,Completed
B-658P,26-Jan-2026,CAN,10:14AM CST,HGH,12:08PM CST,Completed
B-658X,26-Jan-2026,HGH,08:30PM CST,CAN,10:59PM CST,Completed
B-658X,26-Jan-2026,CAN,05:15PM CST,HGH,07:35PM CST,Completed
B-658X,26-Jan-2026,WUH,02:04PM CST,CAN,03:57PM CST,Completed
B-658X,26-Jan-2026,CAN,10:48AM CST,WUH,12:20PM CST,Completed
B-658X,26-Jan-2026,N/A,08:14AM CST,N/A,08:14AM CST,Completed
B-658X,26-Jan-2026,CSX,07:56AM CST,CAN,09:29AM CST,Completed
B-658W,26-Jan-2026,PVG,09:54PM CST,CSX,12:06AM CST (+1),Completed
B-658W,26-Jan-2026,CSX,06:25PM CST,PVG,08:13PM CST,Completed
B-658W,26-Jan-2026,NGB,11:12AM CST,CAN,01:55PM CST,Completed
B-658W,26-Jan-2026,CAN,08:07AM CST,NGB,10:10AM CST,Completed
B-659J,26-Jan-2026,N/A,01:10PM CST,N/A,N/A,Completed
B-659J,26-Jan-2026,HGH,08:00PM CST,PEK,10:18PM CST,Completed
