registration,date,departure_airport,departure_time,arrival_airport,arrival_time,status
B-919A,28-Feb-2026,PEK,08:49PM CST,SHA,11:03PM CST,Completed
B-919A,28-Feb-2026,SHA,04:57PM CST,PEK,07:10PM CST,Completed
B-919A,28-Feb-2026,XIY,12:56PM CST,SHA,03:09PM CST,Completed
B-919A,28-Feb-2026,SHA,09:04AM CST,XIY,11:36AM CST,Completed
B-919C,28-Feb-2026,SHA,08:29PM CST,XIY,11:01PM CST,Completed
B-919C,28-Feb-2026,XIY,04:49PM CST,SHA,07:13PM CST,Completed
B-919C,28-Feb-2026,SHA,12:27PM CST,XIY,02:58PM CST,Completed
B-919C,28-Feb-2026,XIY,08:51AM CST,SHA,11:18AM CST,Completed
B-919D,28-Feb-2026,PKX,07:17PM CST,SHA,09:16PM CST,Completed
B-919D,28-Feb-2026,SHA,03:26PM CST,PKX,05:34PM CST,Completed
B-919D,28-Feb-2026,TYN,11:55AM CST,SHA,02:09PM CST,Completed
B-919D,28-Feb-2026,SHA,08:56AM CST,TYN,11:19AM CST,Completed
B-919E,28-Feb-2026,SHA,08:19PM CST,TFU,11:41PM CST,Completed
B-919E,28-Feb-2026,TFU,04:54PM CST,SHA,07:24PM CST,Completed
B-919E,28-Feb-2026,SHA,12:28PM CST,TFU,04:07PM CST,Completed
B-919E,28-Feb-2026,TFU,08:56AM CST,SHA,11:23AM CST,Completed
B-919G,28-Feb-2026,CAN,06:35PM CST,SHA,08:59PM CST,Completed
B-919G,28-Feb-2026,SHA,02:36PM CST,CAN,04:51PM CST,Completed
B-919G,28-Feb-2026,PEK,11:06AM CST,SHA,01:22PM CST,Completed
B-919G,28-Feb-2026,N/A,11:27AM CST,(?),(?),Completed
B-919G,28-Feb-2026,SHA,07:05AM CST,PEK,09:14AM CST,Completed
B-919H,28-Feb-2026,XMN,07:32PM CST,TFU,10:38PM CST,Completed
B-919H,28-Feb-2026,TFU,03:55PM CST,XMN,06:35PM CST,Completed
B-919H,28-Feb-2026,XMN,11:47AM CST,TFU,02:50PM CST,Completed
B-919H,28-Feb-2026,TFU,08:10AM CST,XMN,10:46AM CST,Completed
B-657S,28-Feb-2026,XIY,08:58PM CST,SHA,11:21PM CST,Completed
B-657S,28-Feb-2026,SHA,05:21PM CST,XIY,08:07PM CST,Completed
B-657S,28-Feb-2026,CKG,01:49PM CST,SHA,04:09PM CST,Completed
B-657S,28-Feb-2026,SHA,09:45AM CST,CKG,12:48PM CST,Completed
B-657S,28-Feb-2026,XIY,06:23AM CST,SHA,08:43AM CST,Completed
B-657T,28-Feb-2026,ZUH,12:07PM CST,SHA,02:27PM CST,Completed
B-657T,28-Feb-2026,SHA,08:24AM CST,ZUH,11:04AM CST,Completed
B-658E,28-Feb-2026,TFU,07:30PM CST,SHA,09:44PM CST,Completed
B-658E,28-Feb-2026,SHA,02:22PM CST,TFU,05:41PM CST,Completed
B-658E,28-Feb-2026,XMN,10:41AM CST,SHA,12:38PM CST,Completed
B-658E,28-Feb-2026,SHA,07:48AM CST,XMN,09:41AM CST,Completed
B-658V,28-Feb-2026,PEK,06:18PM CST,SHA,08:30PM CST,Completed
B-658V,28-Feb-2026,SHA,02:32PM CST,PEK,04:46PM CST,Completed
B-658V,28-Feb-2026,WUH,12:03PM CST,SHA,01:33PM CST,Completed
B-658V,28-Feb-2026,SHA,09:18AM CST,WUH,11:13AM CST,Completed
B-65A0,28-Feb-2026,CKG,07:55PM CST,SHA,10:12PM CST,Completed
B-65A0,28-Feb-2026,SHA,03:25PM CST,CKG,06:21PM CST,Completed
B-65A0,28-Feb-2026,HKG,11:51AM HKT,SHA,02:14PM CST,Completed
B-65A0,28-Feb-2026,SHA,07:46AM CST,HKG,10:33AM HKT,Completed
B-919X,28-Feb-2026,CKG,07:20PM CST,PEK,09:27PM CST,Completed
B-919X,28-Feb-2026,PEK,03:18PM CST,CKG,05:42PM CST,Completed
B-919X,28-Feb-2026,WUH,11:39AM CST,PEK,01:32PM CST,Completed
B-919X,28-Feb-2026,PEK,08:12AM CST,WUH,10:15AM CST,Completed
