registration,date,departure_airport,departure_time,arrival_airport,arrival_time,status
B-919A,18-Feb-2026,PEK,06:22PM CST,SHA,08:33PM CST,Completed
B-919A,18-Feb-2026,SHA,02:33PM CST,PEK,05:06PM CST,Completed
B-919A,18-Feb-2026,WUH,11:58AM CST,SHA,01:34PM CST,Completed
B-919A,18-Feb-2026,SHA,09:28AM CST,WUH,11:22AM CST,Completed
B-919C,18-Feb-2026,CKG,07:52PM CST,SHA,10:21PM CST,Completed
B-919C,18-Feb-2026,SHA,03:18PM CST,CKG,06:11PM CST,Completed
B-919C,18-Feb-2026,TYN,12:04PM CST,SHA,02:20PM CST,Completed
B-919C,18-Feb-2026,SHA,09:00AM CST,TYN,11:27AM CST,Completed
B-919D,18-Feb-2026,SHA,08:24PM CST,TFU,11:39PM CST,Completed
B-919D,18-Feb-2026,TFU,04:50PM CST,SHA,07:19PM CST,Completed
B-919D,18-Feb-2026,SHA,12:20PM CST,TFU,03:44PM CST,Completed
B-919D,18-Feb-2026,TFU,08:52AM CST,SHA,11:25AM CST,Completed
B-919E,18-Feb-2026,PKX,07:52PM CST,XIY,09:59PM CST,Completed
B-919E,18-Feb-2026,XIY,03:58PM CST,PKX,06:10PM CST,Completed
B-919E,18-Feb-2026,CAN,10:50AM CST,XIY,01:36PM CST,Completed
B-919E,18-Feb-2026,XIY,06:52AM CST,CAN,09:58AM CST,Completed
B-919F,18-Feb-2026,XIY,08:50PM CST,SHA,11:11PM CST,Completed
B-919F,18-Feb-2026,SHA,05:05PM CST,XIY,07:43PM CST,Completed
B-919F,18-Feb-2026,CKG,01:42PM CST,SHA,04:01PM CST,Completed
B-919F,18-Feb-2026,SHA,09:41AM CST,CKG,12:47PM CST,Completed
B-919H,18-Feb-2026,XIY,07:17PM CST,SHA,09:41PM CST,Completed
B-919H,18-Feb-2026,SHA,03:21PM CST,XIY,05:58PM CST,Completed
B-919H,18-Feb-2026,ZUH,12:03PM CST,SHA,02:18PM CST,Completed
B-919H,18-Feb-2026,SHA,08:25AM CST,ZUH,11:04AM CST,Completed
B-657S,18-Feb-2026,PKX,07:11PM CST,SHA,09:13PM CST,Completed
B-657S,18-Feb-2026,SHA,03:31PM CST,PKX,05:49PM CST,Completed
B-657S,18-Feb-2026,XIY,11:59AM CST,SHA,02:19PM CST,Completed
B-657S,18-Feb-2026,SHA,08:18AM CST,XIY,11:14AM CST,Completed
B-657T,18-Feb-2026,ZUH,08:20PM CST,SHA,10:37PM CST,Completed
B-657T,18-Feb-2026,SHA,04:38PM CST,ZUH,07:10PM CST,Completed
B-657T,18-Feb-2026,XIY,12:59PM CST,SHA,03:15PM CST,Completed
B-657T,18-Feb-2026,SHA,09:12AM CST,XIY,11:59AM CST,Completed
B-658E,18-Feb-2026,TFU,07:20PM CST,SHA,09:49PM CST,Completed
B-658E,18-Feb-2026,SHA,02:26PM CST,TFU,05:51PM CST,Completed
B-658E,18-Feb-2026,XMN,10:32AM CST,SHA,12:18PM CST,Completed
B-658E,18-Feb-2026,SHA,07:51AM CST,XMN,09:37AM CST,Completed
B-658U,18-Feb-2026,XMN,05:53PM CST,SHA,07:38PM CST,Completed
B-658U,18-Feb-2026,SHA,02:52PM CST,XMN,04:41PM CST,Completed
B-658U,18-Feb-2026,XMN,11:59AM CST,SHA,01:59PM CST,Completed
B-658U,18-Feb-2026,SHA,09:19AM CST,XMN,11:09AM CST,Completed
B-658V,18-Feb-2026,XMN,07:37PM CST,TFU,10:54PM CST,Completed
B-658V,18-Feb-2026,TFU,03:59PM CST,XMN,06:31PM CST,Completed
B-658V,18-Feb-2026,XMN,11:49AM CST,TFU,03:04PM CST,Completed
B-658V,18-Feb-2026,TFU,08:18AM CST,XMN,10:52AM CST,Completed
B-65A0,18-Feb-2026,SHA,07:53PM CST,XIY,10:29PM CST,Completed
B-65A0,18-Feb-2026,XIY,03:48PM CST,SHA,06:06PM CST,Completed
B-65A0,18-Feb-2026,PVG,12:04PM CST,XIY,02:52PM CST,Completed
B-65A0,18-Feb-2026,XIY,07:55AM CST,PVG,10:18AM CST,Completed
B-919X,18-Feb-2026,XIY,06:24PM CST,PEK,08:15PM CST,Completed
B-919X,18-Feb-2026,PEK,03:06PM CST,(?),03:36PM CST (?),Completed
B-919X,18-Feb-2026,XIY,11:08AM CST,PEK,12:57PM CST,Completed
B-919X,18-Feb-2026,PEK,07:16AM CST,XIY,09:06AM CST,Completed
B-919Y,18-Feb-2026,CKG,07:23PM CST,PEK,09:45PM CST,Completed
B-919Y,18-Feb-2026,PEK,03:22PM CST,CKG,05:54PM CST,Completed
B-919Y,18-Feb-2026,WUH,11:36AM CST,PEK,01:34PM CST,Completed
B-919Y,18-Feb-2026,PEK,08:19AM CST,WUH,10:14AM CST,Completed
B-919Z,18-Feb-2026,CTU,09:00PM CST,PEK,11:18PM CST,Completed
B-919Z,18-Feb-2026,PEK,04:55PM CST,CTU,07:41PM CST,Completed
B-919Z,18-Feb-2026,XIY,12:34PM CST,PEK,02:20PM CST,Completed
B-919Z,18-Feb-2026,PEK,08:55AM CST,XIY,10:48AM CST,Completed
B-919J,18-Feb-2026,WUH,07:51PM CST,CAN,09:58PM CST,Completed
B-919J,18-Feb-2026,XIY,12:57PM CST,CAN,03:38PM CST,Completed
B-919J,18-Feb-2026,CAN,09:00AM CST,XIY,11:48AM CST,Completed
B-657J,18-Feb-2026,NGB,05:40PM CST,CAN,07:57PM CST,Completed
B-657J,18-Feb-2026,CAN,02:33PM CST,NGB,04:43PM CST,Completed
B-657X,18-Feb-2026,PKX,07:23PM CST,CAN,10:35PM CST,Completed
B-657X,18-Feb-2026,CAN,03:00PM CST,PKX,05:59PM CST,Completed
B-657X,18-Feb-2026,NGB,11:03AM CST,CAN,01:37PM CST,Completed
B-657X,18-Feb-2026,CAN,08:05AM CST,NGB,10:16AM CST,Completed
B-658H,18-Feb-2026,CSX,10:09PM CST,PEK,12:22AM CST (+1),Completed
B-658H,18-Feb-2026,PEK,06:23PM CST,CSX,08:43PM CST,Completed
B-658H,18-Feb-2026,WUH,01:10PM CST,PEK,03:06PM CST,Completed
B-658H,18-Feb-2026,PEK,09:43AM CST,WUH,11:36AM CST,Completed
B-658J,18-Feb-2026,CSX,08:36PM CST,PEK,10:42PM CST,Completed
B-658J,18-Feb-2026,PEK,05:06PM CST,CSX,07:23PM CST,Completed
B-658J,18-Feb-2026,HGH,01:00PM CST,PEK,03:36PM CST,Completed
B-658J,18-Feb-2026,PEK,09:37AM CST,HGH,11:27AM CST,Completed
B-658Q,18-Feb-2026,XIY,07:38PM CST,PEK,09:41PM CST,Completed
B-658Q,18-Feb-2026,PEK,04:07PM CST,(?),04:37PM CST (?),Completed
B-658Q,18-Feb-2026,CTU,11:38AM CST,PEK,02:20PM CST,Completed
B-658Q,18-Feb-2026,PEK,07:36AM CST,CTU,10:23AM CST,Completed
B-658R,18-Feb-2026,WUH,09:29PM CST,PEK,11:17PM CST,Completed
B-658R,18-Feb-2026,PEK,06:27PM CST,WUH,08:24PM CST,Completed
B-658N,18-Feb-2026,PKX,07:52PM CST,CSX,10:20PM CST,Completed
B-658N,18-Feb-2026,CSX,04:28PM CST,PKX,07:04PM CST,Completed
B-658N,18-Feb-2026,TFU,12:43PM CST,CSX,02:32PM CST,Completed
B-658N,18-Feb-2026,CSX,09:12AM CST,TFU,11:20AM CST,Completed
B-658P,18-Feb-2026,NKG,07:03PM CST,CAN,09:21PM CST,Completed
B-658P,18-Feb-2026,CAN,03:38PM CST,NKG,06:03PM CST,Completed
B-658P,18-Feb-2026,NKG,11:32AM CST,CAN,01:46PM CST,Completed
B-658P,18-Feb-2026,CAN,08:17AM CST,NKG,10:32AM CST,Completed
B-658X,18-Feb-2026,N/A,10:08PM CST,N/A,N/A,Completed
B-658X,18-Feb-2026,PVG,09:52PM CST,CSX,11:50PM CST,Completed
B-658X,18-Feb-2026,CSX,06:17PM CST,PVG,07:59PM CST,Completed
B-658X,18-Feb-2026,CSX,12:15PM CST,CAN,01:50PM CST,Completed
B-658W,18-Feb-2026,HGH,08:31PM CST,CAN,10:53PM CST,Completed
B-658W,18-Feb-2026,CAN,05:04PM CST,HGH,07:09PM CST,Completed
B-658W,18-Feb-2026,WUH,01:59PM CST,CAN,03:57PM CST,Completed
B-658W,18-Feb-2026,CAN,11:05AM CST,WUH,12:50PM CST,Completed
B-658Y,18-Feb-2026,XIY,05:51PM CST,CAN,08:52PM CST,Completed
B-658Y,18-Feb-2026,CAN,02:09PM CST,XIY,04:50PM CST,Completed
B-658Y,18-Feb-2026,CSX,08:43AM CST,CAN,10:26AM CST,Completed
B-659J,18-Feb-2026,CKG,01:27PM CST,PEK,03:45PM CST,Completed
B-659J,18-Feb-2026,PEK,09:26AM CST,CKG,11:52AM CST,Completed
B-659K,18-Feb-2026,HGH,07:58PM CST,PEK,10:37PM CST,Completed
