registration,date,departure_airport,departure_time,arrival_airport,arrival_time,status
B-919A,13-Feb-2026,PKX,07:53PM CST,XIY,09:43PM CST,Completed
B-919A,13-Feb-2026,XIY,03:57PM CST,PKX,06:15PM CST,Completed
B-919A,13-Feb-2026,CAN,10:57AM CST,(?),11:45AM CST (?),Completed
B-919D,13-Feb-2026,TFU,07:22PM CST,SHA,09:45PM CST,Completed
B-919D,13-Feb-2026,SHA,02:21PM CST,TFU,06:02PM CST,Completed
B-919D,13-Feb-2026,XMN,10:29AM CST,SHA,12:14PM CST,Completed
B-919D,13-Feb-2026,SHA,07:59AM CST,XMN,09:34AM CST,Completed
B-919E,13-Feb-2026,SHA,08:19PM CST,TFU,11:51PM CST,Completed
B-919E,13-Feb-2026,TFU,04:54PM CST,SHA,07:14PM CST,Completed
B-919E,13-Feb-2026,SHA,12:22PM CST,TFU,03:52PM CST,Completed
B-919E,13-Feb-2026,TFU,08:49AM CST,SHA,11:06AM CST,Completed
B-919H,13-Feb-2026,CKG,07:49PM CST,SHA,09:57PM CST,Completed
B-919H,13-Feb-2026,SHA,03:22PM CST,CKG,06:26PM CST,Completed
B-919H,13-Feb-2026,TYN,12:04PM CST,SHA,02:21PM CST,Completed
B-919H,13-Feb-2026,SHA,08:57AM CST,TYN,11:13AM CST,Completed
B-657S,13-Feb-2026,XIY,07:25PM CST,SHA,09:23PM CST,Completed
B-657S,13-Feb-2026,SHA,03:23PM CST,XIY,06:13PM CST,Completed
B-657S,13-Feb-2026,ZUH,12:09PM CST,SHA,02:21PM CST,Completed
B-657S,13-Feb-2026,SHA,08:34AM CST,ZUH,10:55AM CST,Completed
B-657T,13-Feb-2026,XMN,05:48PM CST,SHA,07:36PM CST,Completed
B-657T,13-Feb-2026,SHA,02:49PM CST,XMN,04:36PM CST,Completed
B-657T,13-Feb-2026,XMN,11:49AM CST,SHA,01:38PM CST,Completed
B-657T,13-Feb-2026,TFU,08:06AM CST,XMN,10:40AM CST,Completed
B-658E,13-Feb-2026,ZUH,08:18PM CST,SHA,10:37PM CST,Completed
B-658E,13-Feb-2026,SHA,04:37PM CST,ZUH,07:18PM CST,Completed
B-658E,13-Feb-2026,XIY,01:22PM CST,SHA,03:15PM CST,Completed
B-658E,13-Feb-2026,SHA,09:13AM CST,XIY,11:59AM CST,Completed
B-658U,13-Feb-2026,PEK,06:20PM CST,SHA,08:28PM CST,Completed
B-658U,13-Feb-2026,SHA,02:36PM CST,PEK,05:00PM CST,Completed
